ID.A	ID.B	WEIGHT
ENSG00000049245	ENSG00000106636	0.85665946872864
ENSG00000106636	ENSG00000105829	0.715533638344703
ENSG00000004059	ENSG00000132254	0.595189508998784
ENSG00000132254	ENSG00000134287	0.442844771595583
ENSG00000049245	ENSG00000135823	0.472266514651565
ENSG00000106636	ENSG00000135823	0.516815053563458
ENSG00000132254	ENSG00000120805	0.791157188830213
ENSG00000004059	ENSG00000090565	0.336003463953237
ENSG00000090565	ENSG00000103769	0.407528685862741
ENSG00000111481	ENSG00000095139	0.741225728270811
ENSG00000132254	ENSG00000143761	0.809996547483284
ENSG00000004059	ENSG00000151693	0.602318398253475
ENSG00000105829	ENSG00000162236	0.611737462398339
ENSG00000106636	ENSG00000162236	0.801477330074987
ENSG00000135823	ENSG00000162236	0.441845236133911
ENSG00000004059	ENSG00000164144	0.389797480318991
ENSG00000134287	ENSG00000164144	0.290024897163888
ENSG00000143761	ENSG00000164144	0.530477450463111
ENSG00000163479	ENSG00000180879	0.754440082500432
ENSG00000134287	ENSG00000181467	0.218093743234466
ENSG00000111481	ENSG00000184432	0.755351482934673
ENSG00000095139	ENSG00000184432	0.836453325803353
ENSG00000143761	ENSG00000105438	0.812025993734006
ENSG00000090565	ENSG00000185236	0.425416756873782
ENSG00000111716	ENSG00000150991	0.702721478173987
ENSG00000150991	ENSG00000141367	0.749725769587584
ENSG00000150991	ENSG00000164924	0.616522538779998
ENSG00000180879	ENSG00000150991	0.79731578425867
ENSG00000141367	ENSG00000100280	0.725742824251479
ENSG00000090565	ENSG00000132698	0.0629735873565707
ENSG00000184432	ENSG00000107862	0.83960145648772
ENSG00000150991	ENSG00000099194	0.307895192354067
ENSG00000049245	ENSG00000124222	0.41666912836983
ENSG00000106636	ENSG00000124222	0.455973208381226
ENSG00000135823	ENSG00000124222	0.251372786687665
ENSG00000162236	ENSG00000124222	0.389829182681115
ENSG00000066777	ENSG00000124198	0.237252694624615
ENSG00000135823	ENSG00000117758	0.515717229647341
ENSG00000150991	ENSG00000160948	0.737132719551542
ENSG00000141367	ENSG00000116675	0.253553277615294
ENSG00000150991	ENSG00000066044	0.746601912214302
ENSG00000105404	ENSG00000138069	0.759316334664641
ENSG00000107862	ENSG00000138069	0.714335557392794
ENSG00000150991	ENSG00000134333	0.879072988950025
ENSG00000084774	ENSG00000021826	0.4288320316636
ENSG00000150991	ENSG00000021826	0.673630556385302
ENSG00000140374	ENSG00000117054	0.387043610779408
ENSG00000003056	ENSG00000105355	0.668439747185409
ENSG00000141367	ENSG00000103365	0.382737210185571
ENSG00000003056	ENSG00000103365	0.321265029356938
ENSG00000134287	ENSG00000100083	0.361171249188136
ENSG00000141367	ENSG00000100083	0.600518552449639
ENSG00000143761	ENSG00000100083	0.660609503954528
ENSG00000150991	ENSG00000100083	0.651421882872128
ENSG00000003056	ENSG00000100083	0.504068079214401
ENSG00000150991	ENSG00000177606	0.351580385308552
ENSG00000150991	ENSG00000091831	0.40073232866628
ENSG00000177606	ENSG00000091831	0.173237004164159
ENSG00000091831	ENSG00000173153	0.288920745664867
ENSG00000066044	ENSG00000096717	0.298515300634478
ENSG00000177606	ENSG00000096717	0.140573072075716
ENSG00000150991	ENSG00000108773	0.46521069726167
ENSG00000108773	ENSG00000130699	0.233331280579509
ENSG00000096717	ENSG00000114166	0.105366377361764
ENSG00000108773	ENSG00000114166	0.150742561188078
ENSG00000150991	ENSG00000109819	0.232580943495106
ENSG00000173153	ENSG00000109819	0.167686644712922
ENSG00000096717	ENSG00000109819	0.0929932928558636
ENSG00000091831	ENSG00000125686	0.299623295554226
ENSG00000108773	ENSG00000125686	0.347833085253024
ENSG00000137504	ENSG00000172534	0.246767946817931
ENSG00000100603	ENSG00000084676	0.120220231757332
ENSG00000177606	ENSG00000084676	0.0903533315263007
ENSG00000091831	ENSG00000084676	0.10298498567693
ENSG00000114166	ENSG00000084676	0.0677242311412602
ENSG00000109819	ENSG00000084676	0.0597714320037238
ENSG00000177606	ENSG00000180530	0.327609954525302
ENSG00000173153	ENSG00000180530	0.546380450327982
ENSG00000091831	ENSG00000180530	0.37341076310603
ENSG00000114166	ENSG00000180530	0.245559647991407
ENSG00000150991	ENSG00000185591	0.396827506949678
ENSG00000177606	ENSG00000185591	0.171548945658296
ENSG00000091831	ENSG00000185591	0.195531978877497
ENSG00000114166	ENSG00000185591	0.128584306207017
ENSG00000172534	ENSG00000185591	0.274411627360112
ENSG00000164924	ENSG00000163932	0.301193942243979
ENSG00000185591	ENSG00000163932	0.193864836548456
ENSG00000150991	ENSG00000100644	0.713020445451525
ENSG00000134333	ENSG00000100644	0.770705690948383
ENSG00000177606	ENSG00000100644	0.308239483170528
ENSG00000084676	ENSG00000100644	0.183240520191059
ENSG00000185591	ENSG00000100644	0.347908787751824
ENSG00000091831	ENSG00000196367	0.253782711084299
ENSG00000108773	ENSG00000196367	0.294616689323319
ENSG00000130699	ENSG00000196367	0.258326688980692
ENSG00000114166	ENSG00000196367	0.166890725596118
ENSG00000150991	ENSG00000197122	0.522123473781145
ENSG00000177606	ENSG00000197122	0.225714522965165
ENSG00000091831	ENSG00000197122	0.257270058801056
ENSG00000163932	ENSG00000197122	0.255076526021997
ENSG00000150991	ENSG00000185345	0.325954992793352
ENSG00000177606	ENSG00000137947	0.178892000158799
ENSG00000091831	ENSG00000137947	0.203901613397715
ENSG00000084676	ENSG00000137947	0.106346736731914
ENSG00000185591	ENSG00000137947	0.201914752365825
ENSG00000150991	ENSG00000124151	0.365100830502287
ENSG00000091831	ENSG00000124151	0.179899040836861
ENSG00000114166	ENSG00000124151	0.118303888121585
ENSG00000084676	ENSG00000124151	0.0938279772062653
ENSG00000180530	ENSG00000124151	0.340208588067369
ENSG00000091831	ENSG00000169297	0.0277544776906066
ENSG00000173153	ENSG00000196482	0.212907492237813
ENSG00000109819	ENSG00000196482	0.0844505286367419
ENSG00000105229	ENSG00000188612	0.415749308735003
ENSG00000096717	ENSG00000103510	0.163055395972873
ENSG00000172534	ENSG00000103510	0.282006045091481
ENSG00000150991	ENSG00000135679	0.619939257782025
ENSG00000091831	ENSG00000135679	0.305467609314033
ENSG00000114166	ENSG00000135679	0.200879369389338
