ID.A	ID.B	WEIGHT
ENSG00000049245	ENSG00000106636	0.17382285338742
ENSG00000106636	ENSG00000105829	0.195296302779248
ENSG00000004059	ENSG00000132254	0.321764199482722
ENSG00000132254	ENSG00000134287	0.243883957566573
ENSG00000049245	ENSG00000135823	0.210317193645738
ENSG00000106636	ENSG00000135823	0.359355815852526
ENSG00000132254	ENSG00000120805	0.178939755833106
ENSG00000004059	ENSG00000090565	0.329833297250487
ENSG00000090565	ENSG00000103769	0.311295735007577
ENSG00000111481	ENSG00000095139	0.17924974587724
ENSG00000132254	ENSG00000143761	0.195070205938451
ENSG00000004059	ENSG00000151693	0.317693946626416
ENSG00000105829	ENSG00000162236	0.153498355367461
ENSG00000106636	ENSG00000162236	0.233435272646876
ENSG00000135823	ENSG00000162236	0.282445319957979
ENSG00000004059	ENSG00000164144	0.371785464848379
ENSG00000134287	ENSG00000164144	0.281798008226889
ENSG00000143761	ENSG00000164144	0.225395700669894
ENSG00000163479	ENSG00000180879	0.236074715466173
ENSG00000134287	ENSG00000181467	0.199258497510284
ENSG00000111481	ENSG00000184432	0.196827419652469
ENSG00000095139	ENSG00000184432	0.185161764774121
ENSG00000143761	ENSG00000105438	0.133445164182262
ENSG00000090565	ENSG00000185236	0.383037453994371
ENSG00000111716	ENSG00000150991	0.312005642938434
ENSG00000150991	ENSG00000141367	0.218018450856781
ENSG00000150991	ENSG00000164924	0.356002293584754
ENSG00000180879	ENSG00000150991	0.249629385266884
ENSG00000141367	ENSG00000100280	0.206591099781248
ENSG00000090565	ENSG00000132698	0.0886014288807101
ENSG00000184432	ENSG00000107862	0.193166649293155
ENSG00000150991	ENSG00000099194	0.152607941416519
ENSG00000049245	ENSG00000124222	0.176809381705627
ENSG00000106636	ENSG00000124222	0.302103116306458
ENSG00000135823	ENSG00000124222	0.365530069119235
ENSG00000162236	ENSG00000124222	0.237446028647264
ENSG00000066777	ENSG00000124198	0.222071982489375
ENSG00000135823	ENSG00000117758	0.531414052839817
ENSG00000150991	ENSG00000160948	0.340457970999141
ENSG00000141367	ENSG00000116675	0.424994742247317
ENSG00000150991	ENSG00000066044	0.261318715851265
ENSG00000105404	ENSG00000138069	0.231368654776029
ENSG00000107862	ENSG00000138069	0.245776795403606
ENSG00000150991	ENSG00000134333	0.144524893672
ENSG00000084774	ENSG00000021826	0.101337822105022
ENSG00000150991	ENSG00000021826	0.129826182235044
ENSG00000140374	ENSG00000117054	0.344069649861091
ENSG00000003056	ENSG00000105355	0.108490205440681
ENSG00000141367	ENSG00000103365	0.166454134093481
ENSG00000003056	ENSG00000103365	0.135654612589987
ENSG00000134287	ENSG00000100083	0.256603160857328
ENSG00000141367	ENSG00000100083	0.243492455951
ENSG00000143761	ENSG00000100083	0.205243641001819
ENSG00000150991	ENSG00000100083	0.235826026810859
ENSG00000003056	ENSG00000100083	0.198438296294085
ENSG00000150991	ENSG00000177606	0.239929727973461
ENSG00000150991	ENSG00000091831	0.213019396713247
ENSG00000177606	ENSG00000091831	0.242049248538598
ENSG00000091831	ENSG00000173153	0.256802535378102
ENSG00000066044	ENSG00000096717	0.360490553598353
ENSG00000177606	ENSG00000096717	0.330984331451729
ENSG00000150991	ENSG00000108773	0.231150294577107
ENSG00000108773	ENSG00000130699	0.379832480523583
ENSG00000096717	ENSG00000114166	0.302884801291164
ENSG00000108773	ENSG00000114166	0.24035274446722
ENSG00000150991	ENSG00000109819	0.183920424832979
ENSG00000173153	ENSG00000109819	0.221722679407013
ENSG00000096717	ENSG00000109819	0.253719200900335
ENSG00000091831	ENSG00000125686	0.325500663552527
ENSG00000108773	ENSG00000125686	0.353205273445089
ENSG00000137504	ENSG00000172534	0.533025635475636
ENSG00000100603	ENSG00000084676	0.325036139872579
ENSG00000177606	ENSG00000084676	0.271694276176308
ENSG00000091831	ENSG00000084676	0.241221257950666
ENSG00000114166	ENSG00000084676	0.248628285486104
ENSG00000109819	ENSG00000084676	0.208269842678947
ENSG00000177606	ENSG00000180530	0.287604810551933
ENSG00000173153	ENSG00000180530	0.305134781382714
ENSG00000091831	ENSG00000180530	0.255347279193253
ENSG00000114166	ENSG00000180530	0.263188065466204
ENSG00000150991	ENSG00000185591	0.191257345093388
ENSG00000177606	ENSG00000185591	0.217321508612004
ENSG00000091831	ENSG00000185591	0.192946897611881
ENSG00000114166	ENSG00000185591	0.198871595110063
ENSG00000172534	ENSG00000185591	0.283979987308275
ENSG00000164924	ENSG00000163932	0.178085010701349
ENSG00000185591	ENSG00000163932	0.0956737272805206
ENSG00000150991	ENSG00000100644	0.131492533616222
ENSG00000134333	ENSG00000100644	0.0900003666482761
ENSG00000177606	ENSG00000100644	0.149412069705028
ENSG00000084676	ENSG00000100644	0.148900967984258
ENSG00000185591	ENSG00000100644	0.119102188870288
ENSG00000091831	ENSG00000196367	0.262322472630978
ENSG00000108773	ENSG00000196367	0.284649744382055
ENSG00000130699	ENSG00000196367	0.427280889162261
ENSG00000114166	ENSG00000196367	0.27037744172636
ENSG00000150991	ENSG00000197122	0.321879396644816
ENSG00000177606	ENSG00000197122	0.365744468719969
ENSG00000091831	ENSG00000197122	0.324722854212349
ENSG00000163932	ENSG00000197122	0.161015523857542
ENSG00000150991	ENSG00000185345	0.275395654384797
ENSG00000177606	ENSG00000137947	0.381598482547191
ENSG00000091831	ENSG00000137947	0.338798694207182
ENSG00000084676	ENSG00000137947	0.380293128559002
ENSG00000185591	ENSG00000137947	0.304187035429449
ENSG00000150991	ENSG00000124151	0.152110523093779
ENSG00000091831	ENSG00000124151	0.153454255629943
ENSG00000114166	ENSG00000124151	0.158166277723426
ENSG00000084676	ENSG00000124151	0.172248594702426
ENSG00000180530	ENSG00000124151	0.182335546940564
ENSG00000091831	ENSG00000169297	0.0394926419819377
ENSG00000173153	ENSG00000196482	0.526527650178032
ENSG00000109819	ENSG00000196482	0.380427159068544
ENSG00000105229	ENSG00000188612	0.470809298673678
ENSG00000096717	ENSG00000103510	0.483524638037651
ENSG00000172534	ENSG00000103510	0.520433024855074
ENSG00000150991	ENSG00000135679	0.201255453380455
ENSG00000091831	ENSG00000135679	0.203033328410318
ENSG00000114166	ENSG00000135679	0.209267743515036
ENSG00000185591	ENSG00000135679	0.18229145306192
ENSG00000100644	ENSG00000135679	0.12532833710512
ENSG00000196367	ENSG00000135679	0.247835779162857
ENSG00000150991	ENSG00000100387	0.345382412394263
ENSG00000150991	ENSG00000101266	0.286886017640083
ENSG00000100083	ENSG00000101266	0.32040673960698
ENSG00000177606	ENSG00000101266	0.325982262918007
ENSG00000096717	ENSG00000101266	0.39576078193176
ENSG00000101266	ENSG00000004478	0.367984538527738
ENSG00000189369	ENSG00000105640	0.350946625150848
ENSG00000150991	ENSG00000113580	0.109705611080226
ENSG00000177606	ENSG00000113580	0.124656069504233
ENSG00000109819	ENSG00000113580	0.0955563008172284
ENSG00000125686	ENSG00000113580	0.167633791819054
ENSG00000084676	ENSG00000113580	0.124229651934663
ENSG00000180530	ENSG00000113580	0.131504594106414
ENSG00000197122	ENSG00000113580	0.167233217738549
ENSG00000124151	ENSG00000113580	0.0790293895602663
ENSG00000004478	ENSG00000113580	0.140717797958028
ENSG00000150991	ENSG00000074800	0.156413191585477
ENSG00000091831	ENSG00000106546	0.0988068768264744
ENSG00000084676	ENSG00000106546	0.110908267811994
ENSG00000197122	ENSG00000106546	0.149300478679303
ENSG00000177606	ENSG00000127445	0.319651961496799
ENSG00000100216	ENSG00000130204	0.506838336021931
ENSG00000132603	ENSG00000136718	0.270454603084551
ENSG00000150991	ENSG00000108854	0.274649526900688
ENSG00000164924	ENSG00000102882	0.311889877465654
ENSG00000177606	ENSG00000102882	0.210199919513145
ENSG00000185591	ENSG00000102882	0.167558555100662
ENSG00000163932	ENSG00000102882	0.09253851541125
ENSG00000004478	ENSG00000107537	0.271928929901209
ENSG00000143398	ENSG00000011405	0.271060234792697
ENSG00000188612	ENSG00000142230	0.384064728290543
ENSG00000164924	ENSG00000146648	0.180768655788442
ENSG00000150991	ENSG00000146648	0.107218519466528
ENSG00000177606	ENSG00000146648	0.121830042084051
ENSG00000091831	ENSG00000146648	0.108165679532486
ENSG00000197122	ENSG00000146648	0.163441940981837
ENSG00000108854	ENSG00000146648	0.139459848111763
ENSG00000105373	ENSG00000155438	0.388053812319485
ENSG00000132603	ENSG00000155438	0.402610495885173
ENSG00000136718	ENSG00000155438	0.394399033360939
ENSG00000004478	ENSG00000168439	0.318409508369775
ENSG00000146648	ENSG00000175354	0.125909144768113
ENSG00000004478	ENSG00000177556	0.326480604013253
ENSG00000132603	ENSG00000188976	0.26584748997207
ENSG00000136718	ENSG00000188976	0.26042538418154
ENSG00000155438	ENSG00000188976	0.387680564022929
ENSG00000132603	ENSG00000179041	0.377925470072619
ENSG00000155438	ENSG00000179041	0.551121845881547
ENSG00000106617	ENSG00000181929	0.297333563008969
ENSG00000150991	ENSG00000096384	0.280344966696056
ENSG00000100644	ENSG00000096384	0.174579957470206
ENSG00000168439	ENSG00000096384	0.32957869406282
ENSG00000150991	ENSG00000080824	0.341626904057579
ENSG00000080824	ENSG00000086061	0.564670240829211
ENSG00000091831	ENSG00000080824	0.344644809570455
ENSG00000100644	ENSG00000080824	0.212742219287682
ENSG00000197122	ENSG00000080824	0.520769775301907
ENSG00000004478	ENSG00000080824	0.438199880469615
ENSG00000101266	ENSG00000080824	0.46415386788035
ENSG00000113580	ENSG00000080824	0.177493082897289
ENSG00000106546	ENSG00000080824	0.158460158796083
ENSG00000146648	ENSG00000080824	0.17346920888012
ENSG00000168439	ENSG00000080824	0.401622865653557
ENSG00000096384	ENSG00000080824	0.453571079215198
ENSG00000132603	ENSG00000113460	0.374711866481814
ENSG00000136718	ENSG00000113460	0.367069411850232
ENSG00000155438	ENSG00000113460	0.546435506158121
ENSG00000188976	ENSG00000113460	0.360816494424392
ENSG00000179041	ENSG00000113460	0.512932220197448
ENSG00000150991	ENSG00000104365	0.179170079850815
ENSG00000197122	ENSG00000104365	0.273123577553504
ENSG00000124151	ENSG00000104365	0.129069989207018
ENSG00000164924	ENSG00000118689	0.378771344870564
ENSG00000150991	ENSG00000118689	0.224658985465355
ENSG00000091831	ENSG00000118689	0.226643605478299
ENSG00000096717	ENSG00000118689	0.309918261221464
ENSG00000104365	ENSG00000118689	0.190629367643394
ENSG00000164924	ENSG00000186868	0.38736739554016
ENSG00000150991	ENSG00000186868	0.229757523273436
ENSG00000185345	ENSG00000186868	0.299659017103269
ENSG00000127445	ENSG00000186868	0.30609980515263
ENSG00000150991	ENSG00000100316	0.173151318145666
ENSG00000105640	ENSG00000100316	0.154306581047127
ENSG00000091831	ENSG00000198668	0.346150247003058
ENSG00000004478	ENSG00000198668	0.440113974298108
ENSG00000101266	ENSG00000198668	0.466181330902542
ENSG00000146648	ENSG00000198668	0.174226936932887
ENSG00000080824	ENSG00000198668	0.555133659408523
ENSG00000177084	ENSG00000009413	0.351740745593624
ENSG00000132603	ENSG00000107937	0.373318356960137
ENSG00000136718	ENSG00000107937	0.365704323721766
ENSG00000155438	ENSG00000107937	0.544403376543538
ENSG00000188976	ENSG00000107937	0.359474660163099
ENSG00000113460	ENSG00000107937	0.506679302771608
ENSG00000150991	ENSG00000198742	0.184392972239581
ENSG00000108854	ENSG00000198742	0.239841176966042
ENSG00000150991	ENSG00000122406	0.245252104026775
ENSG00000135679	ENSG00000122406	0.233755008926345
ENSG00000105640	ENSG00000122406	0.21856035560266
ENSG00000100316	ENSG00000122406	0.20111250273668
ENSG00000004478	ENSG00000174842	0.364890086838342
ENSG00000100387	ENSG00000174842	0.465310251232695
ENSG00000132603	ENSG00000117133	0.380826244995292
ENSG00000155438	ENSG00000117133	0.555351993242516
ENSG00000188976	ENSG00000117133	0.366704134550473
ENSG00000113460	ENSG00000117133	0.516869242280384
ENSG00000107937	ENSG00000117133	0.514947066136506
ENSG00000132603	ENSG00000173145	0.351534106070257
ENSG00000136718	ENSG00000173145	0.344364374611469
ENSG00000155438	ENSG00000173145	0.512635799303319
ENSG00000188976	ENSG00000173145	0.338498230690643
ENSG00000179041	ENSG00000173145	0.481204855332472
ENSG00000113460	ENSG00000173145	0.477113038893871
ENSG00000107937	ENSG00000173145	0.475338711411646
ENSG00000117133	ENSG00000173145	0.484898353356696
ENSG00000155438	ENSG00000142684	0.358028060463195
ENSG00000107937	ENSG00000142684	0.331979540135647
ENSG00000178950	ENSG00000169083	0.121212390897824
ENSG00000150991	ENSG00000169083	0.134153721642879
ENSG00000177606	ENSG00000169083	0.152435919044623
ENSG00000096717	ENSG00000169083	0.18506577006848
ENSG00000105229	ENSG00000169083	0.177528511502679
ENSG00000114166	ENSG00000169083	0.139494588299568
ENSG00000084676	ENSG00000169083	0.151914473483467
